STATION,LON,LAT,NAME,mean,std
8410140,-66.982903,44.904598,Eastport,0.0367272112184388,0.3684490717496023
8413320,-68.204278,44.392194,Bar Harbor,0.1014384265251717,0.23767707747296254
8418150,-70.24417,43.65806,Portland,0.18283359576677394,0.25314871707027486
8419317,-70.563301,43.32,Wells,0.25077843625372365,0.25030507383703426
8443970,-71.05028,42.3539,Boston,0.21538236249087264,0.2747452177957434
8447930,-70.671112,41.523613,Woods Hole,0.2893235983467002,0.1083679246449853
8449130,-70.09639,41.285278,Nantucket Island,0.2677319996809781,0.21318409566684388
8461490,-72.095525,41.3717,New London,0.2717184202759327,0.14368242304699105
8465705,-72.908333,41.283333,New Haven,0.36162243265272787,0.18208227762520668
8467150,-73.181702,41.173302,Bridgeport,0.34245674045715513,0.1846844271373819
8510560,-71.959444,41.048333,Montauk,0.29661623352031413,0.10547226465578241
8516945,-73.765,40.810306,Kings Point,0.3751337812621301,0.22049053154191328
8518750,-74.014167,40.700556,The Battery,0.32335143010898376,0.10759933923284785
8531680,-74.009444,40.466944,Sandy Hook,0.29867456827006844,0.09994474993166828
8534720,-74.418053,39.356667,Atlantic City,0.3256131996868962,0.08451643528784857
8536110,-74.959999,38.9683,Cape May,0.3093605191739398,0.10145764225812157
8557380,-75.120003,38.7817,Lewes,0.32628206928618453,0.09298550695623456
8570283,-75.091086,38.328267,Ocean City Inlet,0.280360350029078,0.14026046753042984
8635750,-76.464722,37.995278,Lewisetta,0.30612340923891407,0.04828623530210263
8638901,-76.083298,37.032902,"CBBT, Chesapeake Channel",0.36337772674057495,0.08256755532416206
8651370,-75.746694,36.183306,Duck,0.3686354507851561,0.08609698425679875
8656483,-76.67,34.72,"Beaufort, Duke Marine Lab",0.1850466429478328,0.1124572368365623
8658163,-77.786667,34.213333,Wrightsville Beach,0.19264223747217948,0.09012541632554111
8661070,-78.918306,33.655,Springmaid Pier,0.21546302404028467,0.11012637860551999
8665530,-79.923611,32.780833,"Charleston, Cooper River Entrance",0.1452648137335394,0.14260038220328133
8670870,-80.9017,32.0367,Fort Pulaski,0.18771634027439446,0.17830434811963702
8720030,-81.465833,30.671389,Fernandina Beach,0.24388002275267348,0.11620112077834353
8720218,-81.427889,30.398167,Mayport (Bar Pilots Dock),0.30440165281592096,0.11840971236012918
8721604,-80.593056,28.415833,"Trident Pier, Port Canaveral",0.16070030683733807,0.09799749568899123
8722670,-80.034167,26.612778,"Lake Worth Pier, Atlantic Ocean",0.10789755521204612,0.1034057446772271
8723214,-80.161667,25.731667,"Virginia Key, Biscayne Bay",0.17252236383111041,0.09149885602948214
8723970,-81.1065,24.711,"Vaca Key, Florida Bay",0.15999462440985224,0.11490695064976687
8724580,-81.80806,24.55083,Key West,0.11985184708280958,0.10162603214879237
8725110,-81.8075,26.131667,"Naples, Gulf of Mexico",0.143700296381552,0.12805943977099835
8726724,-82.831694,27.978306,Clearwater Beach,0.03421515459496676,0.12062839753322901
8727520,-83.0317,29.135,Cedar Key,0.04916245451247926,0.12190532221311803
8729210,-85.878304,30.213301,Panama City Beach,0.0416459463715314,0.11046016797683925
8729840,-87.211194,30.404389,Pensacola,0.010168358983503985,0.11457841433520641
8735180,-88.075,30.25,Dauphin Island,-0.0025207621987550087,0.11378613361900108
8747437,-89.325,30.325,Bay Waveland Yacht Club,0.09975585247220638,0.11264748885900147
8760721,-89.258301,29.178301,Pilottown,0.25189246340154087,0.10463332579166826
8761305,-89.673,29.8683,Shell Beach,0.021323202039847697,0.1489583911286666
8761724,-89.957,29.263,Grand Isle,0.12772931097389395,0.104927745144532
8764314,-91.3839,29.3675,"Eugene Island, North of, Atchafalaya Bay",-0.0033468405137112656,0.14442475499787422
8766072,-92.305194,29.551694,Freshwater Canal Locks,0.04839147774035364,0.1153361190134348
8768094,-93.342889,29.768167,Calcasieu Pass,0.1134944330216946,0.1404538751463705
8770822,-93.841917,29.689389,"Texas Point, Sabine Pass",0.07265926683311724,0.15713883120100117
8772471,-95.294197,28.935699,Freeport Harbor,0.011626070170342437,0.13451410610504758
8773767,-96.330101,28.426901,Matagorda Bay Entrance Channel,0.03511775747122527,0.11359808661461074
8775241,-97.039101,27.836599,"Aransas, Aransas Pass",-0.003625336346043096,0.17459289290652258
8775870,-97.216389,27.580833,"Bob Hall Pier, Corpus Christi",0.02239828360897982,0.147110094159344
8779748,-97.166861,26.072472,South Padre Island CG Station,-0.007229146486917212,0.11454898231986935
