STATION,LON,LAT,NAME,Period_-3,Period_-2,Period_-1,Period_0
8410140,-66.982903,44.904598,Eastport,0.14282891746647194,0.11871076679702608,0.06875013495328226,-0.22740261145531795
8413320,-68.204278,44.392194,Bar Harbor,0.1952097954834561,0.1719058881122478,0.11723992833991059,-0.11460997230694754
8418150,-70.24417,43.65806,Portland,0.27833419221020456,0.24589123866341542,0.2116017617641539,-0.04195809063816869
8419317,-70.563301,43.32,Wells,0.3303347737003159,0.293052130400766,0.27250285933645196,0.07851309064208789
8443970,-71.05028,42.3539,Boston,0.32460241087317565,0.2693301224460895,0.2452847417974152,-0.01630186268200199
8447930,-70.671112,41.523613,Woods Hole,0.40040649838704173,0.3191686518761702,0.25904736745545137,0.1565415311324247
8449130,-70.09639,41.285278,Nantucket Island,0.39174565017434254,0.3103491589659846,0.277954173769698,0.05550841904046896
8461490,-72.095525,41.3717,New London,0.38282896607752104,0.2887193340614968,0.22457955302454446,0.1745513094730152
8465705,-72.908333,41.283333,New Haven,0.4438810927140631,0.3444670852805827,0.33985943621651565,0.30961405314915413
8467150,-73.181702,41.173302,Bridgeport,0.4136139811838246,0.32168267132565803,0.33722792730563556,0.2882715103247717
8510560,-71.959444,41.048333,Montauk,0.40082552434311153,0.3080814290734758,0.2611116171635841,0.20041238949723947
8516945,-73.765,40.810306,Kings Point,0.4236230667097911,0.34026454039843684,0.39747874859275556,0.3319757669646176
8518750,-74.014167,40.700556,The Battery,0.4335374058502388,0.32954095552465923,0.23748022887899586,0.2867462701966527
8531680,-74.009444,40.466944,Sandy Hook,0.40410802205162666,0.30915500601031537,0.23384112080190214,0.2373780354057018
8534720,-74.418053,39.356667,Atlantic City,0.38748290839645927,0.33540233177404605,0.30356153399097585,0.2660845895659454
8536110,-74.959999,38.9683,Cape May,0.4056542153257155,0.32954488881695426,0.2677396197735841,0.2195319195006181
8557380,-75.120003,38.7817,Lewes,0.41807175913327405,0.3466493438596106,0.31254863573565106,0.20817383224220576
8570283,-75.091086,38.328267,Ocean City Inlet,0.38870949018176,0.3068558693211951,0.2784812947190692,0.12080162506732924
8635750,-76.464722,37.995278,Lewisetta,0.2742372005370258,0.3501146233130512,0.32282382499594237,0.27155690388378106
8638901,-76.083298,37.032902,"CBBT, Chesapeake Channel",0.40593545251654933,0.3886066493279332,0.4130005778682355,0.22248632735138324
8651370,-75.746694,36.183306,Duck,0.4168383588644757,0.3877189974725379,0.4024240399285155,0.2473453980930831
8656483,-76.67,34.72,"Beaufort, Duke Marine Lab",0.2912531849662153,0.2310598588147688,0.1492060972971451,0.04539158826627621
8658163,-77.786667,34.213333,Wrightsville Beach,0.2887371751474037,0.21391206546837158,0.18458392731700304,0.06147449085269122
8661070,-78.918306,33.655,Springmaid Pier,0.32383408814273834,0.2502386854116778,0.1863935726927657,0.07857029508869126
8665530,-79.923611,32.780833,"Charleston, Cooper River Entrance",0.25591371537156254,0.17738869671890015,0.13023365386135255,-0.008025135967897034
8670870,-80.9017,32.0367,Fort Pulaski,0.27990890691261633,0.21926689024132115,0.16321716957389745,0.06862360518881261
8720030,-81.465833,30.671389,Fernandina Beach,0.32019498795281126,0.2809269498359648,0.25231938842309004,0.09771851320805851
8720218,-81.427889,30.398167,Mayport (Bar Pilots Dock),0.36192947866707265,0.3268705731280591,0.3016800592860271,0.21167146965584607
8721604,-80.593056,28.415833,"Trident Pier, Port Canaveral",0.2718901461869741,0.18392542470953707,0.1513712513160905,0.010597224796632927
8722670,-80.034167,26.612778,"Lake Worth Pier, Atlantic Ocean",0.23200011326776634,0.13957164093534405,0.08123014604091217,-0.047033526317415114
8723214,-80.161667,25.731667,"Virginia Key, Biscayne Bay",0.26954484275880125,0.19422764528495237,0.12218920455606913,0.09044884250332057
8723970,-81.1065,24.711,"Vaca Key, Florida Bay",0.277568809899933,0.18639317170646005,0.05788311659860739,0.10976115443931975
8724580,-81.80806,24.55083,Key West,0.2581129202006006,0.12895561215886553,0.038056639484632095,0.04116829036800641
8725110,-81.8075,26.131667,"Naples, Gulf of Mexico",0.30069251224301435,0.13451236351153706,0.04254584963744681,0.08772049288474144
8726724,-82.831694,27.978306,Clearwater Beach,0.17740574699575418,0.02692072577553661,-0.08376381294341723,0.01271451934339878
8727520,-83.0317,29.135,Cedar Key,0.1764094595105071,0.08246098310729234,-0.08698236928137482,0.01988160275369519
8729210,-85.878304,30.213301,Panama City Beach,0.18412173049641226,0.023966059480137376,-0.06633978076750528,0.0214737422581912
8729840,-87.211194,30.404389,Pensacola,0.13597012478849793,0.04625470515564203,-0.14002430873123786,-0.0038661741313641583
8735180,-88.075,30.25,Dauphin Island,0.11793297384853375,0.03762218365054708,-0.1549217295002853,-0.012355619712827684
8747437,-89.325,30.325,Bay Waveland Yacht Club,0.1383634719616964,0.16240041167083394,0.016979761200374532,0.07758454757266339
8760721,-89.258301,29.178301,Pilottown,0.3767977739835349,0.3028730979273944,0.13424117381483394,0.1820108767761724
8761305,-89.673,29.8683,Shell Beach,-0.1377636380358081,0.2003917955703062,-0.050216543312944055,0.08319279231743452
8761724,-89.957,29.263,Grand Isle,0.25368406238569663,0.16148229757617238,0.002032565609192376,0.0869161197946383
8764314,-91.3839,29.3675,"Eugene Island, North of, Atchafalaya Bay",0.08731487684024763,-0.018312762592283167,-0.007101538435574054,-0.08967615733794036
8766072,-92.305194,29.551694,Freshwater Canal Locks,0.15732507529014758,-0.009638374203834288,-0.011229338417659378,0.05885196240324205
8768094,-93.342889,29.768167,Calcasieu Pass,0.28019486063623916,0.11198129440588152,-0.021067142565743397,0.07674357692814224
8770822,-93.841917,29.689389,"Texas Point, Sabine Pass",0.2743379860550353,0.06449631186833177,-0.07399661442504864,0.016427407234357178
8772471,-95.294197,28.935699,Freeport Harbor,0.18335819191102606,0.027907869486773308,-0.09373013516204583,-0.08756318869932911
8773767,-96.330101,28.426901,Matagorda Bay Entrance Channel,0.08854878246556397,0.11927073912019943,-0.04725214286247634,-0.03113917010030833
8775241,-97.039101,27.836599,"Aransas, Aransas Pass",0.20537563741623363,0.0669106928973021,-0.18834431339719418,-0.11740696749140804
